item_id;vectors
0;0.6394561|0.3062056|0.93616545|0.2329341|-0.103162736|-0.30609334|-0.19299921|-0.5311877|-0.45892602|0.3223657|0.18940464|-1.0957512|0.7949243|-0.4979356|0.65530527|-0.7947961|-0.58159584|0.72220266|-0.21267444|-0.8576174|-0.04994991|-0.11590138|0.32127094|-0.99588305|-0.62184405|-0.07936859|0.03170143|0.5661236|0.20177591|-0.076228976|-0.7909229|0.06663593|0.90657467|-0.13578328|-0.5305352|0.49500054|0.6194309|-0.008748695|-0.4946128|-0.32770818|0.4976952|-0.2093445|0.12583491|-1.2204804|0.30440128|-0.4702883|-0.8107588|0.9006259|0.0989355|-0.4039734|0.32736892|0.21314171|-0.8231858|-0.0699998|-0.37042663|0.17535372|-0.34011763|-0.28578734|-0.5222167|-0.62315196|0.33947662|-0.2446255|-0.27499053|-0.32421145|-0.12377298|0.08767935|-0.06024462|-0.13348135|-0.0052291285|-0.3547113|-0.24671927|-0.05805956|0.03699106|-0.4846838|0.018275946|-0.08438435|-1.1041299|-0.9241004|0.42204478|-0.3331294|0.35710037|0.07104265|-0.59061354|-0.09266511|-0.8750614|-0.40746662|0.07959412|0.66526645|0.36521268|0.59605914|0.37600785|0.45103002|-0.28046322|0.06408043|-0.60270154|-0.4174663|-0.4399584|1.459481|-0.94351554|-0.008176148
1;0.8560572|-0.8314519|0.11966379|-0.03065139|-0.039227128|0.42510286|0.030589491|0.68537134|0.080146804|-0.36449912|0.30782196|-0.53931594|0.22582585|-0.1752936|0.6380182|-1.3481566|-0.29194063|0.791371|0.5040586|-0.64901584|0.41125536|0.59203345|-0.52601373|-0.49719357|-0.5500585|0.07086933|-0.60186577|0.57481736|-0.007891245|-0.4668491|-0.2610877|0.19818626|0.74467456|0.055940215|-0.90394413|0.58649236|-0.9721327|0.6256216|-0.20753758|-0.26037836|0.13451897|-0.20239116|0.023256242|-0.32891905|-0.016232774|-0.86219096|-0.29059848|0.030297475|0.48831445|0.24937102|-0.09331161|-0.2744647|-0.16484718|0.095599025|-0.3152866|0.3726431|-0.53145903|-0.5376023|-0.1983585|-0.7466401|-0.7432995|0.029894203|0.45463264|0.32072002|-0.17315221|0.38196743|-0.12548588|0.25230676|-0.28373557|0.12182883|-0.30118686|-0.23951916|-0.23933423|-0.07144053|-0.45364955|-0.33478498|0.51733136|-0.78647804|0.6544167|-0.33928257|0.03617411|-0.6237513|-0.07455067|-0.021314805|-0.9250071|-0.19505176|0.33821642|0.35422227|0.26209775|0.7120844|-0.63019806|0.0052551627|-0.69875234|0.008434296|-0.3053757|0.01504387|-0.475282|0.4068051|0.0042469203|0.018293649
2;0.73853385|-0.40697166|0.20318404|0.43934846|0.06393987|0.27623397|-0.54288864|0.92182815|-0.1550698|-0.6277406|0.8487536|-0.78015494|0.321394|-0.029194236|0.68522954|-0.5790566|-0.5415878|0.21295437|0.838179|-0.28071475|-0.20139134|0.06362867|-0.6619498|0.028483495|-0.6021435|0.48005497|0.5325808|0.40895683|-0.14527003|-0.87441576|-0.48484218|-0.26777548|0.36232466|-0.24772713|-0.4421027|0.24287306|-0.4228886|0.47466624|-0.25432628|-0.23362583|-0.23034294|-0.59183156|-0.36769012|-0.9134253|0.4157095|-0.5871078|-0.6613053|0.016607406|0.1788085|0.20168908|0.37690553|-0.42927653|-0.1823334|-0.34992832|-0.76314825|0.41942126|-0.83868587|-0.2585213|-0.22110498|-0.18842837|-0.62849|0.02796401|0.5017603|-0.018512258|0.2942985|0.608377|-0.057702333|0.35021567|-0.46248427|-0.18108307|-0.15188594|0.5964869|-0.33955878|-0.33500817|-0.71805215|0.39845568|-0.4644705|-0.64535904|-0.087721884|-0.10194521|0.3330232|0.1696572|0.14946216|0.11583724|-0.846973|-0.06332815|0.48625654|-0.051169597|0.27528453|0.16224338|-0.5846829|0.30280283|-0.30462417|0.069036335|-0.019271314|0.5279331|-0.27424636|0.767782|-0.1400579|0.31334057
3;0.47649455|-0.59375334|-0.0043110847|0.3565268|-0.2940313|0.24697027|-0.16063353|1.1762809|-0.61807036|-0.8959472|0.24188137|-0.27541232|0.40291634|0.2111139|0.6141754|-0.6467523|-0.31672466|0.4317705|-0.107536495|-0.011017829|-0.22563028|0.23304111|-0.31201875|-0.62123007|-0.33558297|-0.44902298|-0.94670004|0.22587371|-0.116273284|-0.53126734|0.008458883|-0.2536618|0.56880593|0.3491934|-0.44240877|-0.02801025|-0.6787131|0.7382389|-0.1641873|-0.43599945|-0.16989566|-0.6447449|-0.60486865|-0.7340268|-0.2985638|0.28302443|0.013299078|-0.39278564|0.4653889|0.43149367|0.7175764|-0.7483156|-0.027712405|0.15957107|-0.34829298|0.94751483|-0.771607|-0.3837782|-0.061867315|-0.70861554|-0.12568429|0.07372101|0.34346867|0.291135|-0.3318351|0.11653011|-0.13115913|-0.014500121|-0.17852324|0.18891102|-0.20540875|-0.100232825|-0.23008767|-0.35859177|-0.6918973|0.114634894|0.1360968|-0.3103321|0.33071995|-0.1364862|-0.11387707|0.5545495|-0.52910703|0.27226728|-0.34555736|-0.19161853|0.028605044|0.38671997|-0.12003964|0.18308796|-0.63210154|0.77805674|-0.4119786|-0.03482522|-0.06441969|0.19955084|-0.42438903|0.7188814|0.3066706|0.3391334
4;0.3619098|-0.04164785|0.43488866|0.2671083|-1.0211943|0.5879874|0.003395468|1.305652|0.16835761|-0.5369013|0.6644245|-0.39308715|-0.32323858|-0.5321861|0.72160625|-0.86069995|0.047861487|0.2704|0.3558352|-0.20951372|0.3289853|0.47579983|-0.28019166|-0.12377229|-0.11918497|0.17401922|-0.24443638|0.45950267|-0.22985671|-0.06830308|-0.10790503|0.47954255|0.27753764|-0.024016269|-0.29098722|-0.1606853|-0.6873834|0.40965927|-0.74102056|-0.2647122|-0.12942417|0.35013393|-0.34087333|-0.6994724|0.4462629|-0.57383865|-0.4045101|-0.08957622|0.18660402|0.6201791|0.122452885|-0.1786935|-0.51478624|0.21040305|-0.16696432|0.06662297|-0.6700648|-0.70731974|-0.053035624|-0.6571689|-0.005156055|0.7624097|0.2983178|0.048873715|0.09796519|-0.16338848|-0.02439794|-0.4238454|0.10553859|0.5056097|0.0052277446|0.017529756|-0.33906797|0.09069235|-0.52015054|0.6670836|-0.6793903|-0.75946397|-0.112684846|-0.012333259|0.19511683|0.059495136|-0.7659805|-0.43409985|-0.047436982|0.080156766|1.2823334|-0.15232271|0.32158193|-0.07546246|-0.31857383|0.8708937|-0.64696366|-0.08422597|-0.3883463|-0.37832075|-0.3247374|0.7337838|0.31675863|-0.28472963
5;0.42777115|-0.4032845|0.11687143|0.7095759|-0.27958822|0.39667934|-0.42653397|0.25904208|-0.10156089|-0.53611344|0.95048714|-0.31040135|0.19401407|0.034164935|0.8947649|-0.2965221|-0.523904|-0.105044514|0.6943002|-0.62194633|-0.05450194|-0.2770118|-0.7304347|-0.18377545|-0.58946764|-0.81960213|-0.39282402|0.41351855|-0.020803675|-0.8474189|-0.041128933|0.21211885|0.123272896|0.14937854|-0.4444695|-0.049144328|-0.7884333|0.068183154|-0.18540828|-0.46509802|-0.4642331|-0.4136422|-0.22488962|-0.49595448|0.3694785|-0.43824762|-0.2086268|0.08268702|0.14399219|0.52656406|0.27974913|-0.018336922|-0.23660043|0.24684532|-0.0044980943|0.3415092|-0.48217955|-0.12075171|0.24970579|-0.7070818|-0.43265894|0.14265193|0.62056905|0.5446611|-0.45646608|-0.22461013|0.21215782|-0.4351282|-0.377236|0.36204016|-0.10291691|0.4249485|-0.5862967|-0.6960517|-0.34867013|0.38688672|0.24188384|-0.33009467|0.26674822|0.03904985|0.37515494|-0.13537183|-0.3642655|-0.09798154|-0.30234137|-0.1436123|0.554948|-0.16468772|-0.4361902|-0.018356353|-0.39008322|0.505581|-0.28230828|0.727408|-0.07363394|0.4630561|-0.4632835|0.64739805|0.77966845|-0.4553505
6;0.4773888|-0.97064245|0.8493583|0.26056033|-0.26249722|0.96866715|-0.5414174|0.20041391|-0.57727116|-0.4258449|0.47458613|-0.5443013|0.89943975|0.06885883|0.6945712|-0.42497167|0.05289288|-0.23679268|-0.036718547|-0.018730164|-0.48341686|0.6484742|-0.23843504|-0.79295605|0.50687504|-0.18988287|-0.5704218|0.017933726|0.592628|-0.41226655|0.013828456|-0.05230145|0.7127805|-0.5069852|-0.36870107|-0.39592355|-0.39022824|0.48281682|0.13256514|0.050112456|0.088134766|-0.6029788|-0.75785017|-0.27524155|-0.67702943|-0.8559388|-0.7063155|-0.92702425|0.32701793|-0.008872151|1.6315401|-0.28085482|0.01589647|0.2811628|-0.74760795|0.19655639|-0.8335947|-0.9279249|0.08446208|-0.4021915|0.24267578|-0.2568007|0.19747113|0.15734038|0.2398445|-0.064568266|-0.22557497|0.36119068|-0.31456047|0.5035526|-0.3844688|0.44784516|0.5066121|0.30670595|-0.47089633|-0.62645197|-0.45016164|-0.51295686|-0.2042535|-0.98777175|0.30768988|0.25473526|0.5714371|0.09130967|-0.67968035|0.30493858|-0.5375148|-0.009257399|0.767829|0.46168023|-0.43202865|1.0354128|-0.20801118|0.3786976|-0.013038188|-0.52086794|0.09929778|1.0809605|0.8843292|0.017042935
7;0.69193083|-0.81952715|0.48340082|0.11887488|-0.17728874|0.11492589|-0.39325064|1.1271666|0.30179796|0.018197745|0.21350339|0.1917378|0.04526037|-0.42540646|0.87140024|-0.897431|-0.35612765|-0.24478275|-0.18225855|-0.62386644|0.3579551|-0.0446641|-0.78714323|0.20806526|-0.3998195|-0.046278775|-0.9381926|0.3982917|0.51762754|-0.082648754|-0.9159434|-0.27072906|0.11554861|-0.02160877|-0.36947608|0.61583626|-0.8691561|0.08156419|-0.47733676|-0.38291377|-0.21740735|-0.01568845|-0.24431853|-0.5710169|0.25732028|-0.5250904|-0.62592196|-0.6439754|0.6376828|0.53384453|0.24794254|-0.17227374|-0.457633|0.0059595015|-0.3019154|-0.14669254|-0.5893223|-0.85614634|0.29325706|-0.6026077|0.22155222|-0.5307713|0.7889095|0.19877237|-0.2299489|0.2206713|-0.22326204|0.21790081|0.25679523|-0.31155628|-0.29423416|0.19665343|-0.10426544|0.6418695|-0.22060269|-0.14540242|-0.74616385|-0.5777953|-0.12384269|-0.08506774|0.232106|-0.08021119|-0.37840372|0.0056194114|-0.07611567|0.21132672|0.9103775|-0.08086861|0.70446336|0.38948146|-0.78573906|-0.05289352|-0.57065344|0.11994312|-0.35061067|-0.12674844|-0.699715|0.27617654|0.31295753|-0.3121955
8;0.77590847|-0.39743268|0.12522516|0.8046713|-0.76921415|0.75347996|0.27135092|1.2194357|-0.41407394|-0.42152172|0.9435731|-0.8322207|0.45761028|-0.4497894|0.59903604|-0.30258924|-0.030437753|0.34669954|0.8305793|-0.8953233|0.06573753|0.47114468|0.01640135|0.46457332|-0.1127363|-0.6652037|-0.43308765|0.6916899|-0.17360948|-0.60373825|-0.066648036|0.010758687|-0.048624635|-0.03808225|-0.8833306|0.51523167|-0.042867124|0.11965424|-0.35929573|-0.23532724|-1.1180165|-0.37171185|-0.34020635|-0.422185|0.13263205|-0.047887564|0.19752091|-0.57586265|0.16196139|0.58090824|-0.4339763|-0.0022697449|-0.27643484|0.36911774|-0.31196108|0.3848317|-0.7427803|-0.8070437|0.06777087|-0.29180133|-1.2577367|0.34783027|0.14853108|0.18113703|0.15342215|-0.5434798|0.067178935|0.28659758|-0.7117553|0.53075755|-0.5659236|0.22957516|-0.9066649|-0.72113377|-0.42230743|0.39423588|0.0515534|-0.06798309|-0.2128667|0.3388629|-0.32547072|0.3548273|-0.7881396|0.18795517|-0.97800946|0.40712523|0.5117271|-0.11638794|0.7646865|1.0960542|-0.07853371|0.107861415|-0.6164852|0.7926836|0.038496435|0.0826016|-0.51198345|0.35679275|0.24627143|-0.94950986
9;0.18189177|-0.6043901|-0.014940828|0.342145|-0.2866653|0.47796866|-0.12763917|0.5644816|0.59146094|-0.40855944|0.07861745|-0.40212405|-0.07528396|-0.102724135|0.4451073|-0.2689292|0.008215055|0.51186615|0.2205177|-0.5713769|-0.8576254|0.59352696|-0.7807445|-0.5735817|0.34754387|-0.58569676|0.35112786|0.47202772|0.010987811|-0.4353582|-0.44453925|0.7342726|0.21441768|-0.17436135|-0.13046786|0.8407042|-0.9940331|0.07498677|-0.09942779|-0.6053174|0.14345048|-0.3106211|-0.040694445|-0.7991193|0.066845156|-0.426918|-0.4673109|0.4607453|0.30293384|-0.2223249|0.16733094|-0.19498712|0.20966321|0.36240864|-0.32600915|-0.075234294|-0.35673332|-0.98565984|0.2495212|-0.40657377|-0.5498285|-0.3587196|-0.07533416|-0.042023838|0.36907867|0.120428964|-0.10203542|0.10919712|0.1513321|-0.16465943|-0.35705528|-0.15290822|-0.14525732|-0.3260076|-0.70108473|0.06963105|-0.8669279|-0.34710735|0.23113604|0.010734916|-0.07620144|-0.28025773|-0.7519848|-0.342178|-0.13222456|-0.41397762|0.2706229|-0.22823992|-0.14973101|0.8448088|-0.57194424|0.07167958|-0.45110792|-0.17764248|0.286336|0.15006149|-0.35641706|0.63659424|0.22643472|-0.13423714
