userId;state;action_reward;n_state
389;178&4|684&4|602&4|25&3|132&5|481&5|152&4|211&4|504&4|479&4|732&4|847&4;629&2|662&3|945&4|700&2;178&4|684&4|602&4|25&3|132&5|481&5|152&4|211&4|504&4|479&4|732&4|847&4|629&2|662&3|945&4|700&2
894;740&4|678&3|283&3|340&4|883&3|512&5|327&4|582&4|15&3|248&4|923&5|287&4;909&3|1080&4|70&3|345&4;740&4|678&3|283&3|340&4|883&3|512&5|327&4|582&4|15&3|248&4|923&5|287&4|909&3|1080&4|70&3|345&4
384;333&4|347&4|355&4|327&4|316&5|313&5|748&4|258&4|343&3|286&4|879&4|989&4;289&5|271&4|878&4|689&4;333&4|347&4|355&4|327&4|316&5|313&5|748&4|258&4|343&3|286&4|879&4|989&4|289&5|271&4|878&4|689&4
658;192&4|182&5|9&4|235&2|169&5|7&4|458&3|433&4|772&3|408&5|201&3|1101&4;273&4|735&3|212&3|151&5;192&4|182&5|9&4|235&2|169&5|7&4|458&3|433&4|772&3|408&5|201&3|1101&4|273&4|735&3|212&3|151&5
711;485&4|995&4|277&5|135&4|425&4|218&4|197&4|744&4|1170&3|157&3|162&5|655&4;86&5|343&3|1190&3|316&4;485&4|995&4|277&5|135&4|425&4|218&4|197&4|744&4|1170&3|157&3|162&5|655&4|86&5|343&3|1190&3|316&4
732;321&3|294&3|300&4|937&4|332&5|690&5|304&5|882&5|269&5|243&5|289&3|873&5;875&1|322&3|324&2|938&1;321&3|294&3|300&4|937&4|332&5|690&5|304&5|882&5|269&5|243&5|289&3|873&5|875&1|322&3|324&2|938&1
81;116&3|289&3|151&2|274&3|118&2|282&5|717&2|595&4|928&4|283&4|596&3|410&4;42&4|3&4|186&5|124&3;116&3|289&3|151&2|274&3|118&2|282&5|717&2|595&4|928&4|283&4|596&3|410&4|42&4|3&4|186&5|124&3
934;13&5|175&4|432&5|674&4|705&4|269&2|154&3|161&4|181&4|151&3|202&5|661&4;1311&1|501&4|388&3|225&2;13&5|175&4|432&5|674&4|705&4|269&2|154&3|161&4|181&4|151&3|202&5|661&4|1311&1|501&4|388&3|225&2
852;121&4|827&2|358&3|117&4|405&3|825&3|681&4|289&2|127&4|1&4|597&3|25&3;122&1|841&4|506&4|930&3;121&4|827&2|358&3|117&4|405&3|825&3|681&4|289&2|127&4|1&4|597&3|25&3|122&1|841&4|506&4|930&3
481;197&3|42&3|50&4|238&4|98&4|318&1|507&4|484&4|596&4|153&5|283&5|648&5;580&4|4&3|514&4|430&4;197&3|42&3|50&4|238&4|98&4|318&1|507&4|484&4|596&4|153&5|283&5|648&5|580&4|4&3|514&4|430&4
72;644&4|100&5|50&2|435&5|177&4|234&4|553&5|380&1|38&3|405&3|402&4|98&5;161&5|198&5|194&4|147&5;644&4|100&5|50&2|435&5|177&4|234&4|553&5|380&1|38&3|405&3|402&4|98&5|161&5|198&5|194&4|147&5
734;213&5|724&3|705&4|821&2|487&4|143&5|423&4|483&4|173&3|210&3|607&5|50&4;15&4|282&4|274&4|111&3;213&5|724&3|705&4|821&2|487&4|143&5|423&4|483&4|173&3|210&3|607&5|50&4|15&4|282&4|274&4|111&3
462;321&5|181&4|136&4|358&1|682&5|539&3|11&5|261&2|332&5|310&5|326&4|655&5;346&1|315&4|323&2|330&3;321&5|181&4|136&4|358&1|682&5|539&3|11&5|261&2|332&5|310&5|326&4|655&5|346&1|315&4|323&2|330&3
185;47&4|845&4|28&5|181&4|25&4|286&4|223&4|276&4|178&4|515&4|269&5|275&4;480&4|237&4|199&4|116&4;47&4|845&4|28&5|181&4|25&4|286&4|223&4|276&4|178&4|515&4|269&5|275&4|480&4|237&4|199&4|116&4
403;288&4|1012&1|7&5|258&4|222&5|1&4|515&4|282&5|546&3|276&4|50&5|121&5;925&4|370&3|472&4|597&2;288&4|1012&1|7&5|258&4|222&5|1&4|515&4|282&5|546&3|276&4|50&5|121&5|925&4|370&3|472&4|597&2
590;298&2|515&3|13&4|6&5|676&4|284&2|1009&3|547&4|285&5|14&5|864&1|116&5;740&4|221&4|127&4|287&4;298&2|515&3|13&4|6&5|676&4|284&2|1009&3|547&4|285&5|14&5|864&1|116&5|740&4|221&4|127&4|287&4
211;491&3|303&3|199&5|64&3|286&4|1025&3|1330&3|310&3|526&4|457&4|687&2|462&4;127&4|181&1|890&2|257&5;491&3|303&3|199&5|64&3|286&4|1025&3|1330&3|310&3|526&4|457&4|687&2|462&4|127&4|181&1|890&2|257&5
744;301&3|482&3|483&4|238&4|657&5|428&4|156&4|23&4|9&3|340&3|481&3|127&5;50&3|1&4|237&4|276&4;301&3|482&3|483&4|238&4|657&5|428&4|156&4|23&4|9&3|340&3|481&3|127&5|50&3|1&4|237&4|276&4
781;483&5|223&4|288&2|327&4|1500&5|286&1|100&5|289&3|174&5|69&3|191&4|179&5;181&5|210&4|403&4|50&5;483&5|223&4|288&2|327&4|1500&5|286&1|100&5|289&3|174&5|69&3|191&4|179&5|181&5|210&4|403&4|50&5
496;268&4|661&3|506&3|135&2|195&4|22&4|659&3|652&5|333&3|774&5|483&4|64&3;921&5|191&5|1473&3|39&5;268&4|661&3|506&3|135&2|195&4|22&4|659&3|652&5|333&3|774&5|483&4|64&3|921&5|191&5|1473&3|39&5
9;479&4|276&4|50&5|201&5|527&3|690&1|402&4|294&4|7&4|298&5|507&4|6&5;487&5|286&5|483&5|385&5;479&4|276&4|50&5|201&5|527&3|690&1|402&4|294&4|7&4|298&5|507&4|6&5|487&5|286&5|483&5|385&5
892;526&4|380&4|136&4|760&3|90&2|477&4|227&4|12&5|1124&4|612&5|357&5|435&4;67&4|5&4|99&3|418&4;526&4|380&4|136&4|760&3|90&2|477&4|227&4|12&5|1124&4|612&5|357&5|435&4|67&4|5&4|99&3|418&4
149;269&5|308&2|303&4|258&3|346&4|340&4|301&3|325&2|286&5|300&3|272&3|874&3;326&3|337&2|312&1|323&2;269&5|308&2|303&4|258&3|346&4|340&4|301&3|325&2|286&5|300&3|272&3|874&3|326&3|337&2|312&1|323&2
640;231&5|201&4|580&5|385&5|540&3|342&5|233&4|239&5|33&3|346&4|301&2|750&5;827&3|1258&3|186&5|14&4;231&5|201&4|580&5|385&5|540&3|342&5|233&4|239&5|33&3|346&4|301&2|750&5|827&3|1258&3|186&5|14&4
412;92&3|4&3|70&4|408&4|7&5|56&5|186&5|508&4|96&5|174&5|214&3|684&4;195&4|135&4|150&4|173&5;92&3|4&3|70&4|408&4|7&5|56&5|186&5|508&4|96&5|174&5|214&3|684&4|195&4|135&4|150&4|173&5
265;15&3|472&3|125&4|245&4|1197&2|323&3|300&5|50&2|748&5|477&3|328&4|117&5;298&5|7&2|410&4|293&4;15&3|472&3|125&4|245&4|1197&2|323&3|300&5|50&2|748&5|477&3|328&4|117&5|298&5|7&2|410&4|293&4
153;216&2|323&2|357&5|56&5|64&5|174&1|50&1|265&4|22&2|321&3|325&2|322&3;510&3|187&2|182&5|258&5;216&2|323&2|357&5|56&5|64&5|174&1|50&1|265&4|22&2|321&3|325&2|322&3|510&3|187&2|182&5|258&5
484;732&5|265&5|293&5|151&4|29&3|161&4|136&5|25&3|550&4|392&4|7&4|122&2;562&3|423&5|197&4|951&1;732&5|265&5|293&5|151&4|29&3|161&4|136&5|25&3|550&4|392&4|7&4|122&2|562&3|423&5|197&4|951&1
530;181&3|487&4|322&4|527&4|183&4|191&5|176&3|204&4|582&4|535&4|255&4|56&3;319&3|333&3|470&3|1136&4;181&3|487&4|322&4|527&4|183&4|191&5|176&3|204&4|582&4|535&4|255&4|56&3|319&3|333&3|470&3|1136&4
758;216&4|177&5|217&2|168&5|605&3|419&4|481&5|252&3|195&5|7&5|191&5|150&5;1022&5|576&4|77&3|892&2;216&4|177&5|217&2|168&5|605&3|419&4|481&5|252&3|195&5|7&5|191&5|150&5|1022&5|576&4|77&3|892&2
939;298&5|252&3|591&5|1054&4|9&5|1028&5|275&4|993&4|121&5|890&2|258&4|471&5;1023&4|106&3|254&3|1051&5;298&5|252&3|591&5|1054&4|9&5|1028&5|275&4|993&4|121&5|890&2|258&4|471&5|1023&4|106&3|254&3|1051&5
435;825&3|1028&2|100&3|273&5|17&2|820&1|327&3|778&4|83&4|50&5|154&4|53&3;321&3|756&3|1215&3|409&3;825&3|1028&2|100&3|273&5|17&2|820&1|327&3|778&4|83&4|50&5|154&4|53&3|321&3|756&3|1215&3|409&3
657;269&5|690&4|508&4|302&2|455&1|873&3|1&3|301&3|9&4|7&3|273&3|744&4;1009&4|118&1|109&1|151&4;269&5|690&4|508&4|302&2|455&1|873&3|1&3|301&3|9&4|7&3|273&3|744&4|1009&4|118&1|109&1|151&4
626;324&4|988&1|680&1|292&1|288&3|294&3|748&2|327&4|333&1|330&3|264&1|879&1;313&5|328&1|272&5|358&1;324&4|988&1|680&1|292&1|288&3|294&3|748&2|327&4|333&1|330&3|264&1|879&1|313&5|328&1|272&5|358&1
818;328&4|322&2|912&3|313&4|303&5|300&2|751&5|316&4|288&5|302&5|269&3|346&4;887&4|875&1|1105&1|245&4;328&4|322&2|912&3|313&4|303&5|300&2|751&5|316&4|288&5|302&5|269&3|346&4|887&4|875&1|1105&1|245&4
686;99&5|234&4|179&5|430&4|299&5|194&5|209&5|327&5|97&2|514&5|969&5|50&4;135&5|181&4|1184&1|467&5;99&5|234&4|179&5|430&4|299&5|194&5|209&5|327&5|97&2|514&5|969&5|50&4|135&5|181&4|1184&1|467&5
67;273&4|756&3|546&3|240&5|123&4|147&3|105&4|1052&3|25&4|1093&5|743&4|121&4;117&5|405&5|7&5|24&4;273&4|756&3|546&3|240&5|123&4|147&3|105&4|1052&3|25&4|1093&5|743&4|121&4|117&5|405&5|7&5|24&4
406;179&5|638&4|216&3|639&4|238&2|198&2|745&4|73&2|661&5|222&3|405&3|217&4;641&5|188&4|1073&3|421&4;179&5|638&4|216&3|639&4|238&2|198&2|745&4|73&2|661&5|222&3|405&3|217&4|641&5|188&4|1073&3|421&4
114;474&5|175&5|172&5|157&2|654&3|96&3|204&3|183&5|679&2|659&4|98&4|176&5;179&5|156&4|195&4|153&3;474&5|175&5|172&5|157&2|654&3|96&3|204&3|183&5|679&2|659&4|98&4|176&5|179&5|156&4|195&4|153&3
